call_id,transcript,status,end_reason,duration,cost,created_at
2455e247-6cdd-4304-a0c2-dfaae34ec405,"AI: Hello.
User: Hello? Yeah.
AI: Hi there. I'm a colleague from v
User: Hello?
AI: Hi there. Is a colleague from
User: Yeah. Hello?
AI: Hi there. Do you have a moment to talk?
User: Hello?
AI: Hi there. I'm a colleague from Viasat.
User: Hello? Yeah. Yeah. Sorry. Yeah. Okay. Okay. Okay. Okay. Okay.
AI: Hi there. It's a colleague from BS. I know you might hate me, because this is a cold call. Want to hang up,
User: Okay.
AI: give me 20 seconds. Got it. Have a great.
User: Okay.
AI: I'm calling because a lot of manufacturers are frustrated by machine downtime and high maintenance costs. The essay is known as the Porsche of CNC and woodworking machinery. Most of our machines run flawlessly, for 15, 20 years. With multimaterial capability, and best in class service. We've helped factories across Asia, Europe, and the US reduce downtime and future proof production.",ended,customer-ended-call,0,0.2931,2025-08-18T07:00:31.355Z
cf1b909d-8339-4004-ab54-5c9d0c0bfb52,"AI: Hello.
User: Hello?
AI: Hi there. It's a colleague from BS. I know you might hate me. Because this is a cold call. Want to hang up or give me 20 seconds? Great. I'm calling Sorry about that. Maybe this will Sounds like this might not be the right time. Thanks for picking up. Have a good 1.",ended,customer-ended-call,0,0.1757,2025-08-18T07:00:29.762Z
bcd522c3-07d2-43f7-96b3-7183084d6d7e,"AI: Hello.
User: Yeah. Hello?
AI: Hi there. Uh, colleague from Viasse. I know you might hate me.
User: Hello?
AI: Because this is a cold call Want to hang up or give me 20 seconds?",ended,customer-ended-call,0,0.0456,2025-08-18T06:59:30.802Z
f6d9f26a-1400-42cb-9c11-2d436e695fb0,"AI: Hello.
User: Hello?
AI: Hi there. A colleague from Biesa. I know
User: Hello?
AI: Hi there. It's a colleague from Biesa. Know you might hate me, because this is a cold call. Wanna hang up? Or give me 20 seconds?
User: Regarding?
AI: I'm calling because a lot of manufacturers are
User: Hello?
AI: I'm calling because many manufacturers are frustrated by machine downtime and high
User: What manufacturers?
AI: Manufacturers across Asia, Europe, and the US have benefited from our solutions. Would you be open to a quick 12 minute walk through to see how we can help your operations?
User: Sir, if you have any link video kind of, you please mail me or SMS me. I'll go through and then we'll connect. Thank you.
AI: Sure thing. The best email to send the details to? No problem at all. Um, I'll send you Gotcha. I'll send you a quick
User: Some time. Access the app to get amazing offers. Check account information, make easy payment, or recharge for certain others.
User: Your call is put on hold. Kindly hold the line or call after some time. Access the app to get amazing offers check account information, make easy payment, or a charge for self-service.
AI: Alright.",ended,customer-ended-call,0,0.4526,2025-08-18T06:59:29.257Z
fce4856d-5075-45d8-b044-aec198b5c181,"AI: Hello.
User: Hello?
AI: Hi there. A colleague from Biesa. I know you might hate me, because this is a cold call. To hang up? Or give me 20 seconds?
User: Yeah. Just 20 seconds.
AI: Appreciate that. I'm calling because a lot of manufacturers are frustrated by machine downtime and high maintenance costs. BS is known as the Porsche of a CNC and woodworking machinery. Most of our machines run flawlessly for 15 to 20 years, with multimaterial capability and best in class service. We've helped factories across Asia, Europe, and the US reduce downtime and future proof their production. Worth a 12 minute walkthrough?
User: Yes. Why not?
AI: Awesome. Uh, just so I can tailor it a bit, are you looking to add or replace any CNC or woodworking machines this year?
User: Yes. Probably. We need to machine with higher true outputs.
AI: Gotcha. Gotcha. That makes total sense, especially if you're scaling up or trying to hit tighter deadlines. Do you also work with materials beyond wood, or is it mainly wood for your production?
User: We also work with Stone.
AI: Perfect. BSA machines are great for that. Multimaterial support is 1 of our strong suits. Let's get a quick 12 minute walk through on the books. So my colleague can show you how it works. Would this Thursday at 10 AM, MIT, or 3 PM be better?
User: Uh, can you do it on Friday? At 4 PM?
AI: Sure. Friday at 4 PM. Got it. Uh, give me a second to sort that for you. Hang tight.
User: Okay.
AI: Just checking availability for that time. 1 moment.
User: Everything alright?
AI: All good. Appreciate your patience. Quick thing. What's what's the best email to send the invite to?
User: Uh, it's stanz at Google dot com.
AI: Thanks for that. Just to confirm, that's stans at Google dot com. Right?
User: Yep.
AI: Perfect. In Friday at 4 PM, MYT now. Give me a moment. To get that booked.",ended,silence-timed-out,0,0.4103,2025-08-18T06:32:34.040Z
2430a3ee-d896-49a8-8a0a-a5a5ee773471,"AI: Hello.
User: Yes? Hello?
AI: Hi there. Hi there. Just calling from Versus. I know these cold calls can be annoying. Do you wanna hang up or give me 20 seconds?
User: May I know who's on the line?
AI: It's a wage and name. It's from Besse.",ended,silence-timed-out,0,0.1049,2025-08-18T07:51:54.593Z
79e1e997-6df4-46bb-b632-d84c525f990a,"AI: Hello.
User: 0 1 3 8 8 0 9.
User: 0
User: Please leave a voice message after the tone.
AI: Hi there. This is a colleague from BS. I wanted to reach out to discuss how our CNC and woodworking machines can help reduce downtime and maintenance costs They're known for running flawlessly for 1520 years. You're interested in learning more, please reply with your email, and we can, uh, set up a quick 12 minute walk through. Thanks.",ended,silence-timed-out,0,0.1611,2025-08-18T07:50:01.471Z
0e78c28b-c1b2-41ca-9ed4-c2469f134be2,"AI: Hello.
User: Yes?
AI: Hi there, uh, colleague
User: Hello?
AI: hi there. A colleague from BSA. I know you might hate me, because is a cold call. Want to hang up? Or give me 20 seconds.
User: We got Regarding what?
AI: I'm calling because a lot of manufacturers get frustrated by machine downtime and high maintenance costs. BSA, known as the Porsche of CNC, and Woodworking Machinery, offers solutions that run flawlessly for a variety of 20 years. We provide multimaterial capability, and best in class service. Would you be interested in a 12 minute walk through?
User: I think we're done at this moment. Thanks a lot your calling.
AI: No problem at all. I'll send over a quick summary
User: K. Thanks.
AI: Sure thing. Sounds good. Have a great day.
User: Okay. Thanks.
AI: You're welcome. Have a great day.",ended,silence-timed-out,0,0.2501,2025-08-18T07:49:42.569Z
8112b215-edf7-4a7d-b544-cb7f4705cc24,"AI: Hello.
User: Or the number 0 1 3 8 8
User: 0
User: 8
User: 9
User: after the tone.
AI: Hi there. A colleague from BS know you might hate me because this is a cold call, Want to hang up? Or give me 20 seconds?",ended,silence-timed-out,0,0.1393,2025-08-18T07:49:00.214Z
9228462b-106e-47b9-ad84-a1307c465c98,"AI: Hello.
User: For the number 0 1 2 7 1. 7 2. 7 2 8. You are trying to reach right now. Is unavailable. Please leave your message after the beep. And press hashtag to save your message.
User: To listen to the recorded messages, press 1.
User: To listen to the recorded messages, press 1.
User: To listen to the recorded messages, press 1.
User: To listen to the recorded messages, press 1.
User: To listen to the recorded messages, press 1.
User: To listen to the recorded messages, press 1.
User: To listen to the recorded messages, press 1. To rerecord the message, press 2. To cancel the message, press star.
User: Thank you for using Selkom voice mail service. Your call will be disconnected.",ended,customer-ended-call,0,0.2467,2025-08-18T07:48:48.469Z
e348e5d4-62f7-417c-888b-d79140df492c,"AI: Hello.
User: For the number 0 1 2 7 1 7 2 7 2 8 You are trying to reach right now is unavailable.
User: Please after the
AI: It seems like the call was not connected to the right person or you encountered a a voice mail system. Let's proceed with the protocol. You like to provide a method to to reach them, such as an email or a direct line, If not, I appreciate your time, and I'll follow-up via email with a summary.",ended,silence-timed-out,0,0.094,2025-08-18T07:48:42.635Z
